decision_date,trade0,tradeN,close0,closeN,retN_pct,ffr_text,ffr_mid,delta_bps,move
2015-12-16,2015-12-16,2015-12-23,2073.07,2064.29,-0.42352646075627387,0.25% – 0.5%,0.38,,unch
2016-12-14,2016-12-14,2016-12-21,2253.28,2265.18,0.5281190087339294,0.5% – 0.75%,0.62,24.0,hike
2017-03-16,2017-03-16,2017-03-23,2381.38,2345.96,-1.4873728678329368,0.75% – 1.0%,0.88,26.0,hike
2017-06-15,2017-06-15,2017-06-22,2432.46,2434.5,0.08386571618854699,1.0% – 1.25%,1.12,24.0,hike
2017-12-14,2017-12-14,2017-12-21,2652.01,2684.57,1.2277480099999627,1.25% – 1.5%,1.38,26.0,hike
2018-03-22,2018-03-22,2018-03-29,2643.69,2640.87,-0.10666908752540172,1.5% – 1.75%,1.62,24.0,hike
2018-06-14,2018-06-14,2018-06-21,2782.49,2749.76,-1.1762845508878628,1.75% – 2.0%,1.88,26.0,hike
2018-09-27,2018-09-27,2018-10-04,2914.0,2901.61,-0.425188743994509,2.0% – 2.25%,2.12,24.0,hike
2018-12-20,2018-12-20,2018-12-28,2467.42,2485.74,0.742475946535226,2.25% – 2.5%,2.38,26.0,hike
2019-08-01,2019-08-01,2019-08-08,2953.56,2938.09,-0.5237746990072956,2.0% – 2.25%,2.12,-26.0,cut
2019-09-19,2019-09-19,2019-09-26,3006.79,2977.62,-0.9701375885911578,1.75% – 2.0%,1.88,-24.0,cut
2019-10-31,2019-10-31,2019-11-07,3037.56,3085.18,1.5677056584890492,1.5% – 1.75%,1.62,-26.0,cut
2020-03-04,2020-03-04,2020-03-11,3130.12,2741.38,-12.41933216617893,1.0% – 1.25%,1.12,-50.0,cut
2020-03-16,2020-03-16,2020-03-23,2386.13,2237.4,-6.233105488804047,0.0% – 0.25%,0.12,-100.0,cut
2022-03-17,2022-03-17,2022-03-24,4411.67,4520.16,2.4591594566230057,0.25% – 0.5%,0.38,26.0,hike
2022-05-05,2022-05-05,2022-05-12,4146.87,3930.08,-5.227798315355914,0.75% – 1.0%,0.88,50.0,hike
2022-06-16,2022-06-16,2022-06-24,3666.77,3911.74,6.680811722578728,1.5% – 1.75%,1.62,74.0,hike
2022-07-28,2022-07-28,2022-08-04,4072.43,4151.94,1.9523969718325374,2.25% – 2.5%,2.38,76.0,hike
2022-09-22,2022-09-22,2022-09-29,3757.99,3640.47,-3.1272036381150614,3.0% – 3.25%,3.12,74.0,hike
2022-11-03,2022-11-03,2022-11-10,3719.89,3956.37,6.357177228358912,3.75% – 4.0%,3.88,76.0,hike
2022-12-15,2022-12-15,2022-12-22,3895.75,3822.39,-1.883077712892256,4.25% – 4.5%,4.38,50.0,hike
2023-02-02,2023-02-02,2023-02-09,4179.76,4081.5,-2.350852680536686,4.5% – 4.75%,4.62,24.0,hike
2023-03-23,2023-03-23,2023-03-30,3948.72,4050.83,2.585901254077272,4.75% – 5.0%,4.88,26.0,hike
2023-05-04,2023-05-04,2023-05-11,4061.22,4130.62,1.708846110282125,5.0% – 5.25%,5.12,24.0,hike
2023-07-27,2023-07-27,2023-08-03,4537.41,4501.89,-0.7828254444716132,5.25% – 5.5%,5.38,26.0,hike
